high_precision_time,system_time,chrony_last_ntp_sync_time,chrony_system_time_offset,chrony_last_offset,chrony_frequency_drift_ppm,chrony_residual_freq_ppm,chrony_skew,chrony_root_delay,chrony_root_dispersion,cpu_temp,cpu_freq,ntp_time,ntp_rtt,ntp_offset,ntp_delay,network_rtt,power,cpu_load
45445.54513,1742363277,Wed Mar 19 05,-0.001936937,0.004833879,-85.721,85.723,0.129,0.030863745,0.018999696,54.71875,1209.422266,1742363277,0.013236384,0.000669479,0.002859116,8.67,200,0.1
45447.54517,1742363279,Wed Mar 19 05,-0.002108374,0.004833879,-85.721,85.723,0.129,0.030863745,0.01917341,54.65625,1214.017203,1742363279,0.014579776,0.000653505,0.002863407,8.83,200,0.2
45449.54509,1742363281,Wed Mar 19 05,-0.002279812,0.004833879,-85.721,85.723,0.129,0.030863745,0.019347124,54.6875,1204.710703,1742363281,0.0130058,0.000628233,0.002789021,8.8,200,0.1
45451.54518,1742363283,Wed Mar 19 05,-0.002451273,0.004833879,-85.721,85.723,0.129,0.030863745,0.019520862,54.71875,1203.047062,1742363283,0.011023933,-0.000333071,0.000853062,8.76,200,0.1
45453.54515,1742363285,Wed Mar 19 05,-0.002622702,0.004833879,-85.721,85.723,0.129,0.030863745,0.019694569,54.75,1199.984625,1742363285,0.014465099,0.000668526,0.00284481,8.76,200,0.1
45455.54518,1742363287,Wed Mar 19 05,-0.002794141,0.004833879,-85.721,85.723,0.129,0.030863745,0.019868284,54.75,1204.678859,1742363287,0.013173271,0.000672102,0.002849102,8.7,200,0.1
45457.54517,1742363289,Wed Mar 19 05,-0.002965593,0.004833879,-85.721,85.723,0.129,0.030863745,0.020042013,54.6875,1200.085719,1742363289,0.013149772,0.000685453,0.002897739,8.75,200,0.1
45459.54516,1742363291,Wed Mar 19 05,-0.003137023,0.004833879,-85.721,85.723,0.129,0.030863745,0.02021572,54.65625,1200.009062,1742363291,0.013333219,0.000718832,0.002991199,8.82,200,0.1
45461.54514,1742363293,Wed Mar 19 05,-0.003308476,0.004833879,-85.721,85.723,0.129,0.030863745,0.020389451,54.65625,1199.989391,1742363293,0.013086402,0.000630856,0.002778053,8.74,200,0.1
45463.54518,1742363295,Wed Mar 19 05,-0.003479913,0.004833879,-85.721,85.723,0.129,0.030863745,0.020563165,54.6875,1204.644281,1742363295,0.027791632,0.000654221,0.002841949,8.72,200,0.1
45465.54519,1742363297,Wed Mar 19 05,-0.003651361,0.004833879,-85.721,85.723,0.129,0.030863745,0.02073689,54.6875,1200.326297,1742363297,0.02075922,6.06E-05,0.001629829,8.79,200,0.1
45467.54519,1742363299,Wed Mar 19 05,-0.003822811,0.004833879,-85.721,85.723,0.129,0.030863745,0.020910617,54.59375,1209.309359,1742363299,0.013554167,0.000862837,0.003274441,8.75,200,0.1
45469.54517,1742363301,Wed Mar 19 05,-0.003994244,0.004833879,-85.721,85.723,0.129,0.030863745,0.021084327,54.625,1212.163516,1742363301,0.027305081,0.000444174,0.002405643,8.76,200,0.1
45471.54523,1742363303,Wed Mar 19 05,-0.004165693,0.004833879,-85.721,85.723,0.129,0.030863745,0.021258052,54.65625,1203.152641,1742363303,0.01256626,0.000415564,0.00233984,8.68,200,0.1
45473.54515,1742363305,Wed Mar 19 05,-0.004337126,0.004833879,-85.721,85.723,0.129,0.030863745,0.021431763,54.71875,1200.075422,1742363305,0.014212826,0.000591516,0.0027318,8.74,200,0.1
45475.54515,1742363307,Wed Mar 19 05,-0.00450857,0.004833879,-85.721,85.723,0.129,0.030863745,0.021605484,54.65625,1209.955391,1742363307,0.012332257,-0.000402451,0.000761032,8.7,200,0.1
45477.54511,1742363309,Wed Mar 19 05,-0.004680004,0.004833879,-85.721,85.723,0.129,0.030863745,0.021779194,54.625,1206.241688,1742363309,0.011144304,-0.000355244,0.000871658,8.72,200,0.1
45479.54516,1742363311,Wed Mar 19 05,-0.004851457,0.004833879,-85.721,85.723,0.129,0.030863745,0.021952925,54.75,1203.585359,1742363311,0.013017733,4.46E-05,0.001571178,8.77,200,0.1
45481.54512,1742363313,Wed Mar 19 05,-0.005022896,0.004833879,-85.721,85.723,0.129,0.030863745,0.022126641,54.6875,1199.958625,1742363313,0.01228923,-0.000376225,0.000792503,8.73,200,0.1
45483.54516,1742363315,Wed Mar 19 05,-0.005194338,0.004833879,-85.721,85.723,0.129,0.030863745,0.022300359,54.6875,1209.378359,1742363315,0.02085152,1.57E-05,0.001584053,8.78,200,0.1
45485.54511,1742363317,Wed Mar 19 05,-0.005365787,0.004833879,-85.721,85.723,0.129,0.030863745,0.022474086,54.71875,1210.89925,1742363317,0.014341092,0.000632286,0.002815247,8.73,200,0.1
45487.54518,1742363319,Wed Mar 19 05,-0.005537222,0.004833879,-85.721,85.723,0.129,0.030863745,0.022647798,54.71875,1204.813141,1742363319,0.014515524,0.000656605,0.002830505,8.78,200,0.1
45489.54519,1742363321,Wed Mar 19 05,-0.000134288,0.005692351,-85.721,93.382,0.129,0.028867561,0.018234847,54.71875,1201.641922,1742363321,0.014368478,0.000614166,0.002799988,8.74,200,0.1
45491.54515,1742363323,Wed Mar 19 05,-0.000305733,0.005692351,-85.721,93.382,0.129,0.028867561,0.018423887,54.71875,1209.338922,1742363323,0.012703763,-0.000371933,0.000828743,8.87,200,0.1
45493.54511,1742363325,Wed Mar 19 05,-0.000477165,0.005692351,-85.721,93.382,0.129,0.028867561,0.018612916,54.71875,1199.972875,1742363325,0.014431093,0.000651121,0.002840519,8.76,200,0.1
45495.54519,1742363327,Wed Mar 19 05,-0.000648617,0.005692351,-85.721,93.382,0.129,0.028867561,0.018801963,54.71875,1200.003891,1742363327,0.014277824,0.000641584,0.002803326,8.84,200,0.1
45497.54511,1742363329,Wed Mar 19 05,-0.000820059,0.005692351,-85.721,93.382,0.129,0.028867561,0.018991001,54.6875,1210.102594,1742363329,0.014355643,0.000631094,0.00278616,8.69,200,0.1
45499.54516,1742363331,Wed Mar 19 05,-0.000991502,0.005692351,-85.721,93.382,0.129,0.028867561,0.019180039,54.71875,1204.666422,1742363331,0.012350966,-0.000329018,0.000871658,8.69,200,0.1
45501.54519,1742363333,Wed Mar 19 05,-0.00116294,0.005692351,-85.721,93.382,0.129,0.028867561,0.019369071,54.71875,1200.048922,1742363333,0.027633996,0.000658274,0.002824306,8.79,200,0.1
45503.54516,1742363335,Wed Mar 19 05,-0.001334384,0.005692351,-85.721,93.382,0.129,0.028867561,0.019558111,54.71875,1200.018781,1742363335,0.014299525,0.000567436,0.002672195,8.79,200,0.1
45505.54513,1742363337,Wed Mar 19 05,-0.001505843,0.005692351,-85.721,93.382,0.129,0.028867561,0.019747168,54.75,1200.040953,1742363337,0.014599842,0.000729561,0.002944946,8.65,200,0.1
45507.54523,1742363339,Wed Mar 19 05,-0.001677272,0.005692351,-85.721,93.382,0.129,0.028867561,0.019936191,54.71875,1209.337031,1742363339,0.014482894,0.000641823,0.00282383,8.68,200,0.1
45509.5451,1742363341,Wed Mar 19 05,-0.001848725,0.005692351,-85.721,93.382,0.129,0.028867561,0.02012524,54.78125,1203.184203,1742363341,0.022686523,0.000979185,0.003493786,8.87,200,0.1
45511.54515,1742363343,Wed Mar 19 05,-0.002020156,0.005692351,-85.721,93.382,0.129,0.028867561,0.020314265,54.625,1204.981453,1742363343,0.014353839,0.000621319,0.002779961,8.76,200,0.1
45513.54509,1742363345,Wed Mar 19 05,-0.00219161,0.005692351,-85.721,93.382,0.129,0.028867561,0.020503316,54.65625,1214.085891,1742363345,0.014178542,0.000591755,0.002687454,8.62,200,0.1
45515.54522,1742363347,Wed Mar 19 05,-0.002363044,0.005692351,-85.721,93.382,0.129,0.028867561,0.020692345,54.71875,1210.931563,1742363347,0.012371017,-0.000447512,0.000741482,8.73,200,0.1
45517.54512,1742363349,Wed Mar 19 05,-0.002534489,0.005692351,-85.721,93.382,0.129,0.028867561,0.020881386,54.75,1201.623969,1742363349,0.013109335,0.000663757,0.00284481,8.69,200,0.1
45519.54518,1742363351,Wed Mar 19 05,-0.00270593,0.005692351,-85.721,93.382,0.129,0.028867561,0.021070423,54.6875,1199.947219,1742363351,0.013073498,0.000621796,0.002799034,8.74,200,0.1
45521.54518,1742363353,Wed Mar 19 05,-0.002877379,0.005692351,-85.721,93.382,0.129,0.028867561,0.021259466,54.65625,1200.035031,1742363353,0.014474918,0.000629187,0.002790928,8.65,200,0.1
45523.54517,1742363355,Wed Mar 19 05,-0.003048816,0.005692351,-85.721,93.382,0.129,0.028867561,0.0214485,54.6875,1208.989484,1742363355,0.014560181,0.000724077,0.002985477,8.73,200,0.1
45525.54513,1742363357,Wed Mar 19 05,-0.003220265,0.005692351,-85.721,93.382,0.129,0.028867561,0.021637544,54.65625,1205.745078,1742363357,0.014534659,0.000741482,0.00302124,8.81,200,0.1
45527.5452,1742363359,Wed Mar 19 05,-0.003391695,0.005692351,-85.721,93.382,0.129,0.028867561,0.021826569,54.65625,1200.002281,1742363359,0.014438178,0.000633001,0.002799511,8.66,200,0.1
45529.54512,1742363361,Wed Mar 19 05,-0.003563151,0.005692351,-85.721,93.382,0.129,0.028867561,0.022015622,54.71875,1206.209594,1742363361,0.014366319,0.000622988,0.002758503,8.77,200,0.1
45531.54519,1742363363,Wed Mar 19 05,-0.003734586,0.005692351,-85.721,93.382,0.129,0.028867561,0.022204651,54.625,1209.384047,1742363363,0.011185755,-0.000335693,0.00088501,8.63,200,0.1
45533.54516,1742363365,Wed Mar 19 05,-0.003906032,0.005692351,-85.721,93.382,0.129,0.028867561,0.022393694,54.6875,1200.073406,1742363365,0.013106587,0.000647068,0.002799988,8.77,200,0.1
45535.54518,1742363367,Wed Mar 19 05,-0.004077475,0.005692351,-85.721,93.382,0.129,0.028867561,0.02258273,54.78125,1200.101266,1742363367,0.01432635,0.000620604,0.002766132,8.71,200,0.1
45537.54517,1742363369,Wed Mar 19 05,-0.004248923,0.005692351,-85.721,93.382,0.129,0.028867561,0.022771776,54.59375,1200.504594,1742363369,0.014534206,0.000622988,0.002837658,8.66,200,0.1
45539.54515,1742363371,Wed Mar 19 05,-0.004420362,0.005692351,-85.721,93.382,0.129,0.028867561,0.02296081,54.65625,1211.021203,1742363371,0.014210471,0.000609159,0.002775669,8.73,200,0.1
45541.5451,1742363373,Wed Mar 19 05,-0.004591808,0.005692351,-85.721,93.382,0.129,0.028867561,0.023149852,54.65625,1209.038,1742363373,0.013072174,0.000618458,0.002762794,8.6,200,0.1
45543.54517,1742363375,Wed Mar 19 05,-0.00476324,0.005692351,-85.721,93.382,0.129,0.028867561,0.023338879,54.65625,1206.258391,1742363375,0.01425401,0.000634193,0.002729416,8.74,200,0.1
45545.54512,1742363377,Wed Mar 19 05,-0.004934695,0.005692351,-85.721,93.382,0.129,0.028867561,0.02352793,54.59375,1205.072141,1742363377,0.014344496,0.000627279,0.002739429,8.68,200,0.1
45547.54517,1742363379,Wed Mar 19 05,-0.00510613,0.005692351,-85.721,93.382,0.129,0.028867561,0.02371696,54.6875,1203.096875,1742363379,0.014511271,0.000637293,0.002806187,8.69,200,0.1
45549.54516,1742363381,Wed Mar 19 05,-0.00527758,0.005692351,-85.721,93.382,0.129,0.028867561,0.023906006,54.6875,1199.906156,1742363381,0.015853651,0.001317024,0.004141808,8.75,200,0.1
45551.54517,1742363383,Wed Mar 19 05,-0.005449024,0.005692351,-85.721,93.382,0.129,0.028867561,0.024095045,54.59375,1200.030953,1742363383,0.0144284,0.000644922,0.002800465,8.76,200,0.1
45553.54511,1742363385,Wed Mar 19 05,-8.25E-05,0.005772679,-85.721,89.551,0.129,0.028867561,0.019436544,54.65625,1210.959328,1742363385,0.014481297,0.000726223,0.002959251,8.84,200,0.1
45555.54518,1742363387,Wed Mar 19 05,-0.000253988,0.005772679,-85.721,89.551,0.129,0.028867561,0.019617932,54.75,1201.662234,1742363387,0.014455613,0.00066328,0.002814293,8.71,200,0.1
45557.5451,1742363389,Wed Mar 19 05,-0.000425421,0.005772679,-85.721,89.551,0.129,0.028867561,0.0197993,54.625,1199.930656,1742363389,0.014326972,0.000619173,0.002770901,8.84,200,0.1
45559.5452,1742363391,Wed Mar 19 05,-0.000596872,0.005772679,-85.721,89.551,0.129,0.028867561,0.019980684,54.59375,1199.960484,1742363391,0.013123185,0.000618696,0.002849102,8.76,200,0.1
45561.54515,1742363393,Wed Mar 19 05,-0.000768318,0.005772679,-85.721,89.551,0.129,0.028867561,0.020162063,54.6875,1210.384594,1742363393,0.01316023,3.53E-05,0.001584053,8.82,200,0.1
45563.54516,1742363395,Wed Mar 19 05,-0.000939753,0.005772679,-85.721,89.551,0.129,0.028867561,0.020343432,54.71875,1212.775781,1742363395,0.013184321,0.000656843,0.002865314,8.77,200,0.1
45565.54514,1742363397,Wed Mar 19 05,-0.001111189,0.005772679,-85.721,89.551,0.129,0.028867561,0.020524802,54.71875,1203.176828,1742363397,0.013133734,0.000631332,0.002837181,8.8,200,0.1
45567.54517,1742363399,Wed Mar 19 05,-0.001282655,0.005772679,-85.721,89.551,0.129,0.028867561,0.020706203,54.65625,1203.976,1742363399,0.014433724,0.000641584,0.002811909,8.72,200,0.1
45569.54512,1742363401,Wed Mar 19 05,-0.00145408,0.005772679,-85.721,89.551,0.129,0.028867561,0.020887561,54.65625,1203.163172,1742363401,0.012508183,-0.000383854,0.000753403,8.77,200,0.2
45571.54522,1742363403,Wed Mar 19 05,-0.001625541,0.005772679,-85.721,89.551,0.129,0.028867561,0.021068957,54.71875,1202.502266,1742363403,0.013007186,0.000611782,0.002781868,8.79,200,0.1
45573.54516,1742363405,Wed Mar 19 05,-0.001796975,0.005772679,-85.721,89.551,0.129,0.028867561,0.021250324,54.625,1200.296766,1742363405,0.01222364,-0.000400066,0.000779152,8.8,200,0.1
45575.54521,1742363407,Wed Mar 19 05,-0.001968359,0.005772679,-85.721,89.551,0.129,0.028867561,0.021431638,54.65625,1228.241906,1742363407,0.014584348,0.000618935,0.002783775,8.69,200,0.1
45577.54518,1742363409,Wed Mar 19 05,-0.002139847,0.005772679,-85.721,89.551,0.129,0.028867561,0.021613063,54.6875,1200.015734,1742363409,0.014332412,0.000645876,0.002810001,8.87,200,0.1
45579.54518,1742363411,Wed Mar 19 05,-0.002311293,0.005772679,-85.721,89.551,0.129,0.028867561,0.021794444,54.6875,1204.695375,1742363411,0.01443782,0.000614166,0.002791405,8.7,200,0.1
45581.5451,1742363413,Wed Mar 19 05,-0.002482734,0.005772679,-85.721,89.551,0.129,0.028867561,0.021975817,54.6875,1210.923125,1742363413,0.014705403,0.000651598,0.002802372,8.81,200,0.1
45583.54522,1742363415,Wed Mar 19 05,-0.002654188,0.005772679,-85.721,89.551,0.129,0.028867561,0.022157207,54.6875,1206.288813,1742363415,0.012378371,-0.000350237,0.000815868,8.68,200,0.1
45585.54512,1742363417,Wed Mar 19 05,-0.002825619,0.005772679,-85.721,89.551,0.129,0.028867561,0.022338569,54.65625,1200.060578,1742363417,0.011219948,-0.00033927,0.000833035,8.67,200,0.1
45587.54517,1742363419,Wed Mar 19 05,-0.002997072,0.005772679,-85.721,89.551,0.129,0.028867561,0.022519957,54.625,1199.988047,1742363419,0.013006225,0.000603199,0.002746582,8.78,200,0.1
45589.54516,1742363421,Wed Mar 19 05,-0.003168505,0.005772679,-85.721,89.551,0.129,0.028867561,0.022701325,54.65625,1209.461188,1742363421,0.014368322,0.000623226,0.00276947,8.75,200,0.1
45591.54519,1742363423,Wed Mar 19 05,-0.00333996,0.005772679,-85.721,89.551,0.129,0.028867561,0.022882713,54.78125,1200.030734,1742363423,0.01349537,0.00082612,0.003138065,8.83,200,0.1
45593.54514,1742363425,Wed Mar 19 05,-0.003511396,0.005772679,-85.721,89.551,0.129,0.028867561,0.023064082,54.65625,1199.939531,1742363425,0.012951537,0.000636339,0.002790928,8.76,200,0.1
45595.54516,1742363427,Wed Mar 19 05,-0.003682837,0.005772679,-85.721,89.551,0.129,0.028867561,0.023245458,54.75,1209.321016,1742363427,0.013193849,0.000654459,0.002816677,8.76,200,0.1
45597.54511,1742363429,Wed Mar 19 05,-0.003854284,0.005772679,-85.721,89.551,0.129,0.028867561,0.023426838,54.6875,1214.014016,1742363429,0.014278045,0.000629187,0.002815723,8.82,200,0.1
45599.54515,1742363431,Wed Mar 19 05,-0.004025723,0.005772679,-85.721,89.551,0.129,0.028867561,0.023608211,54.65625,1203.088766,1742363431,0.013110638,0.000658512,0.002841949,8.82,200,0.1
45601.54514,1742363433,Wed Mar 19 05,-0.004197181,0.005772679,-85.721,89.551,0.129,0.028867561,0.023789605,54.71875,1200.011422,1742363433,0.014544426,0.000631094,0.002815723,8.75,200,0.1
45603.5452,1742363435,Wed Mar 19 05,-0.004368608,0.005772679,-85.721,89.551,0.129,0.028867561,0.023970965,54.625,1204.544016,1742363435,0.014395006,0.000630617,0.002783298,8.76,200,0.1
45605.54513,1742363437,Wed Mar 19 05,-0.004540056,0.005772679,-85.721,89.551,0.129,0.028867561,0.024152348,54.71875,1200.009719,1742363437,0.014406407,0.000644922,0.002794743,8.76,200,0.1
45607.5452,1742363439,Wed Mar 19 05,-0.004711495,0.005772679,-85.721,89.551,0.129,0.028867561,0.024333719,54.75,1200.038641,1742363439,0.01426572,0.000637293,0.002793789,8.83,200,0.1
